zone_id,zone_name,province,prov_n,name_n,match_score,match_method,matched
GcP2B8nmUVo,Bokoro,Maindombe,maindombe,bokoro,1.0,fuzzy,True
MiaMAqYujLY,Bolobo,Maindombe,maindombe,bolobo,1.0,fuzzy,True
DlpIIdkVKyg,Bosobe,Maindombe,maindombe,bosobe,1.0,fuzzy,True
PIT5UiywHIa,Inongo,Maindombe,maindombe,inongo,1.0,fuzzy,True
nTMZjDaAgBb,Kwamouth,Maindombe,maindombe,kwamouth,1.0,fuzzy,True
EDu64jGXwRe,Mushie,Maindombe,maindombe,mushie,1.0,fuzzy,True
j89PZlq83OT,Nioki,Maindombe,maindombe,nioki,1.0,fuzzy,True
Kts0Ppbd4En,Ntandembelo,Maindombe,maindombe,ntandembelo,0.9565217391304348,fuzzy,True
ZOLJkw5FviP,Oshwe,Maindombe,maindombe,oshwe,1.0,fuzzy,True
VOwZTRAt0Ak,Yumbi,Maindombe,maindombe,yumbi,1.0,fuzzy,True
w1BnPOcmluI,Alunguli,Maniema,maniema,alunguli,1.0,exact,True
ncFyk9qnjro,Kabambare,Maniema,maniema,kabambare,1.0,exact,True
ZHRREbCOGwG,Kailo,Maniema,maniema,kailo,1.0,exact,True
IpT4QLSAYMK,Kalima,Maniema,maniema,kalima,1.0,exact,True
y08g1DjhBXu,Kampene,Maniema,maniema,kampene,1.0,exact,True
MRRlnyr6MW6,Kasongo,Maniema,maniema,kasongo,1.0,exact,True
FMXSE1MWvdO,Kibombo,Maniema,maniema,kibombo,1.0,exact,True
lbUq2j3aRYh,Kindu,Maniema,maniema,kindu,1.0,exact,True
MMeukZwYdI1,Kunda,Maniema,maniema,kunda,1.0,exact,True
HtQZ7yf79SN,Lubutu,Maniema,maniema,lubutu,1.0,exact,True
rmoJzmAeUZq,Lusangi,Maniema,maniema,lusangi,1.0,exact,True
BsSB1PA58Qp,Obokote,Maniema,maniema,obokote,1.0,exact,True
EyMlz2Qvcmt,Punia,Maniema,maniema,punia,1.0,exact,True
SWIUdbyuNVh,Samba,Maniema,maniema,samba,1.0,exact,True
aPONdpnYXAn,Saramabila,Maniema,maniema,saramabila,1.0,exact,True
BmjuXfI9o9i,Tunda,Maniema,maniema,tunda,1.0,exact,True
a0M4XJunan2,Binga,Mongala,mongala,binga,1.0,exact,True
w70GpRgNj01,Boso Manzi,Mongala,mongala,boso manzi,1.0,exact,True
rWbNwJffOMY,Boso Mondanda,Mongala,mongala,boso mondanda,,,False
jm3dqXXoblR,Bosondjo,Mongala,mongala,bosondjo,,,False
Xol9qIrf1Gi,Lisala,Mongala,mongala,lisala,,,False
Kc3iE3HU6mA,Lolo,Mongala,mongala,lolo,,,False
Yo6u0UIHrfc,Yamaluka,Mongala,mongala,yamaluka,,,False
GLky3WLKZTi,Alimbongo,Nord-Kivu,nord kivu,alimbongo,1.0,exact,True
reOlSi4YUvZ,Bambo,Nord-Kivu,nord kivu,bambo,1.0,exact,True
msg2MyMGhKv,Beni,Nord-Kivu,nord kivu,beni,1.0,exact,True
TtaXlLIpy8b,Biena,Nord-Kivu,nord kivu,biena,1.0,exact,True
qa1TBnjJilP,Binza,Nord-Kivu,nord kivu,binza,1.0,exact,True
foR0DRLqtdJ,Butembo,Nord-Kivu,nord kivu,butembo,1.0,exact,True
t8tjGKVhkl3,Goma,Nord-Kivu,nord kivu,goma,1.0,exact,True
bzo7dCPSXS2,Itebero,Nord-Kivu,nord kivu,itebero,1.0,exact,True
XoJ3dLz68aj,Kalunguta,Nord-Kivu,nord kivu,kalunguta,1.0,exact,True
vFJcnSDGQS0,Kamango,Nord-Kivu,nord kivu,kamango,1.0,exact,True
RSaqeeEezZl,Karisimbi,Nord-Kivu,nord kivu,karisimbi,1.0,exact,True
woJBeEpIZdy,Katwa,Nord-Kivu,nord kivu,katwa,1.0,exact,True
ZLgC2OOesbS,Kayna,Nord-Kivu,nord kivu,kayna,1.0,exact,True
OKMskHnAdPh,Kibirizi,Nord-Kivu,nord kivu,kibirizi,1.0,exact,True
is2bUIOxBUG,Kibua,Nord-Kivu,nord kivu,kibua,1.0,exact,True
xS36Jly2x2T,Kirotshe,Nord-Kivu,nord kivu,kirotshe,1.0,exact,True
amGiV9h9C2I,Kyondo,Nord-Kivu,nord kivu,kyondo,1.0,exact,True
oTtGHeQSotN,Lubero,Nord-Kivu,nord kivu,lubero,1.0,exact,True
svtAZQ9nVl0,Mabalako,Nord-Kivu,nord kivu,mabalako,1.0,exact,True
IyDb5geWMDN,Manguredjipa,Nord-Kivu,nord kivu,manguredjipa,1.0,exact,True
kQCMPbHKQ93,Masereka,Nord-Kivu,nord kivu,masereka,1.0,exact,True
D6IRek5MhIt,Masisi,Nord-Kivu,nord kivu,masisi,1.0,exact,True
VooLsNf0dDB,Musienene,Nord-Kivu,nord kivu,musienene,1.0,exact,True
TnjfqDbxtwP,Mutwanga,Nord-Kivu,nord kivu,mutwanga,1.0,exact,True
OZYtwRFkc5Z,Mweso,Nord-Kivu,nord kivu,mweso,1.0,exact,True
WLVe6Xt7Xum,Nyiragongo,Nord-Kivu,nord kivu,nyiragongo,0.9523809523809523,fuzzy,True
zOOAshOz4Cz,Oicha,Nord-Kivu,nord kivu,oicha,1.0,exact,True
Qnxdx1xJkXt,Pinga,Nord-Kivu,nord kivu,pinga,1.0,exact,True
nXYw6kLqc0y,Rutshuru,Nord-Kivu,nord kivu,rutshuru,1.0,exact,True
xIs8yXFjb9Y,Walikale,Nord-Kivu,nord kivu,walikale,1.0,exact,True
lIWxyiAegfN,Gbadolite,Nord-Ubangi,nord ubangi,gbadolite,,,False
N3EOJsjCXzW,Karawa,Nord-Ubangi,nord ubangi,karawa,,,False
ARnHjae4l5S,Loko,Nord-Ubangi,nord ubangi,loko,1.0,exact,True
e3onjTOWxjS,Mobayi Mbongo,Nord-Ubangi,nord ubangi,mobayi mbongo,1.0,exact,True
CSvyaLZJiEt,Wapinda,Nord-Ubangi,nord ubangi,wapinda,,,False
PzrqwW6m5Wz,Wasolo,Nord-Ubangi,nord ubangi,wasolo,,,False
Bou7OgEKEp1,Yakoma,Nord-Ubangi,nord ubangi,yakoma,1.0,exact,True
Qx49Xk4whc5,Bena Dibele,Sankuru,sankuru,bena dibele,,,False
TJpOhLF2cXo,Dikungu,Sankuru,sankuru,dikungu,,,False
lDx3qiOSC3F,Djalo Ndjeka,Sankuru,sankuru,djalo ndjeka,,,False
IPDJ2AFLJ1q,Katako Kombe,Sankuru,sankuru,katako kombe,,,False
fJD7wOwwi4M,Lodja,Sankuru,sankuru,lodja,,,False
L08zgLln431,Lomela,Sankuru,sankuru,lomela,,,False
x6qA2FLnw1e,Lusambo,Sankuru,sankuru,lusambo,,,False
Rw3GsgKRHj5,Ototo,Sankuru,sankuru,ototo,1.0,exact,True
fjTwDPXTHPR,Tshumbe,Sankuru,sankuru,tshumbe,,,False
UXxD0fWI2yS,Vanga Kete,Sankuru,sankuru,vanga kete,,,False
dw6cxRCsTBH,Wembo Nyama,Sankuru,sankuru,wembo nyama,,,False
aOghManYK5E,Bagira,Sud-Kivu,sud kivu,bagira,1.0,exact,True
Th9eFA4VSq6,Bunyakiri,Sud-Kivu,sud kivu,bunyakiri,,,False
roraCGWMUQ0,Fizi,Sud-Kivu,sud kivu,fizi,1.0,exact,True
jOxDAa0HM4a,Ibanda,Sud-Kivu,sud kivu,ibanda,1.0,exact,True
